"행정구역별(1)","특성별(1)",특성별(2),2009,2009,2009,2009,2009,2009,2009,2011,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2019,2021,2021,2021,2021,2021,2021,2021,2023,2023,2023,2023,2023,2023,2023,2025,2025,2025,2025,2025,2025,2025
"행정구역별(1)","특성별(1)",특성별(2),계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족
"경기도","성별",남자,100.0,80.2,1.4,13.4,39.7,32.5,12.9,100.0,84.8,1.2,9.3,38.5,38.3,12.7,100.0,87.9,1.8,11.5,36.9,34.1,15.6,100.0,88.8,1.7,9.7,40.1,34.2,14.3,100.0,92.1,1.2,12.0,40.7,32.3,13.8,100.0,91.1,2.3,12.9,41.9,29.7,13.2,100.0,90.7,2.7,20.0,31.8,29.2,16.3,100.0,87.1,2.7,24.5,32.0,25.1,15.6,100.0,92.0,4.3,26.4,31.4,24.7,13.2
"경기도","성별",여자,100.0,50.9,1.4,11.4,41.5,34.1,11.7,100.0,54.4,1.8,10.5,39.8,34.0,13.9,100.0,61.2,1.9,11.4,37.0,33.7,16.0,100.0,67.1,1.6,8.9,43.2,31.0,15.4,100.0,73.1,2.4,10.0,38.9,34.8,13.9,100.0,71.7,2.3,11.7,42.5,29.6,13.9,100.0,75.6,3.2,19.6,35.5,26.4,15.4,100.0,72.0,4.1,21.7,32.2,25.3,16.8,100.0,78.3,4.0,22.7,33.4,25.5,14.3
"강원특별자치도","전체",계,100.0,69.8,1.9,12.3,39.9,31.4,14.5,100.0,69.0,1.2,9.6,39.9,35.9,13.4,100.0,79.5,2.5,12.3,45.9,28.3,10.9,100.0,83.7,2.3,10.4,43.9,31.3,12.1,100.0,85.5,2.1,11.3,44.1,31.4,11.1,100.0,86.0,2.6,12.6,44.7,29.6,10.5,100.0,86.5,3.9,22.9,35.0,27.0,11.2,100.0,77.9,4.3,27.6,34.8,23.5,9.8,100.0,84.5,4.8,25.2,32.8,24.4,12.8
"강원특별자치도","성별",남자,100.0,80.5,2.0,13.7,38.3,31.8,14.3,100.0,82.9,0.7,10.2,40.6,35.6,12.9,100.0,90.5,2.7,12.1,46.4,28.7,10.1,100.0,92.2,2.5,10.6,44.4,30.1,12.2,100.0,93.9,2.7,11.8,46.3,29.1,10.2,100.0,93.1,2.7,12.4,46.0,27.7,11.1,100.0,92.0,3.2,24.0,34.7,26.6,11.5,100.0,87.5,3.7,28.6,34.9,24.1,8.7,100.0,90.4,5.1,24.7,34.0,23.4,12.8
"강원특별자치도","성별",여자,100.0,59.7,1.7,10.6,42.1,30.8,14.8,100.0,55.7,1.8,8.7,39.0,36.3,14.2,100.0,68.9,2.3,12.7,45.2,27.9,11.9,100.0,75.4,2.0,10.1,43.2,32.7,12.0,100.0,77.4,1.5,10.7,41.6,34.1,12.1,100.0,79.0,2.5,12.7,43.3,31.8,9.7,100.0,80.9,4.6,21.8,35.3,27.4,10.9,100.0,68.5,4.9,26.4,34.8,22.8,11.0,100.0,78.7,4.4,25.7,31.5,25.5,13.0
"충청북도","전체",계,100.0,67.9,1.4,10.4,39.0,33.4,15.8,100.0,71.2,1.0,10.3,38.9,36.4,13.4,100.0,80.3,2.1,10.3,40.1,32.9,14.5,100.0,81.4,2.1,9.2,40.7,35.4,12.6,100.0,84.0,2.2,11.0,38.5,33.2,15.1,100.0,83.6,1.7,10.7,44.6,32.0,11.0,100.0,78.6,3.3,22.9,35.8,25.8,12.2,100.0,79.5,4.0,26.9,27.8,27.8,13.6,100.0,86.9,2.6,24.7,33.9,26.8,12.0
"충청북도","성별",남자,100.0,79.7,1.4,9.5,38.8,34.4,15.8,100.0,86.7,0.4,9.7,39.6,36.7,13.6,100.0,91.5,1.9,10.4,40.4,32.3,15.0,100.0,92.5,2.3,8.7,38.8,37.3,12.8,100.0,91.5,1.9,11.6,39.0,33.8,13.8,100.0,93.1,2.0,9.9,43.6,33.1,11.4,100.0,89.4,3.2,22.3,35.7,26.9,11.9,100.0,87.7,4.5,26.2,27.7,28.1,13.5,100.0,92.8,2.8,25.0,32.5,26.4,13.3
"충청북도","성별",여자,100.0,56.3,1.4,11.8,39.2,32.1,15.6,100.0,56.0,1.9,11.2,37.8,36.0,13.1,100.0,69.2,2.3,10.2,39.7,33.8,14.0,100.0,70.5,2.0,9.9,43.1,32.9,12.2,100.0,76.5,2.7,10.3,37.9,32.5,16.6,100.0,73.9,1.4,11.7,45.8,30.6,10.4,100.0,67.5,3.5,23.8,35.9,24.4,12.5,100.0,71.1,3.4,27.7,27.8,27.4,13.7,100.0,80.9,2.2,24.2,35.7,27.3,10.5
"충청남도","전체",계,100.0,67.9,2.3,14.2,40.9,32.3,10.2,100.0,74.6,1.8,12.5,37.9,34.1,13.8,100.0,78.5,1.6,11.1,40.4,35.5,11.3,100.0,80.0,1.7,11.2,45.0,31.2,10.9,100.0,81.6,1.7,9.9,44.7,31.0,12.8,100.0,83.4,2.2,12.3,45.2,28.6,11.6,100.0,84.5,4.2,24.7,35.7,23.1,12.2,100.0,75.4,4.4,27.3,32.7,23.6,12.1,100.0,85.1,3.6,26.3,40.3,21.1,8.7
"충청남도","성별",남자,100.0,82.8,2.1,16.4,40.5,31.1,9.8,100.0,89.7,1.7,11.9,37.1,35.7,13.5,100.0,90.4,2.0,11.5,41.9,32.6,12.0,100.0,92.1,0.8,12.1,45.2,32.2,9.8,100.0,92.3,1.4,10.7,45.3,30.2,12.3,100.0,91.5,1.6,13.5,46.7,26.2,12.0,100.0,91.7,4.5,25.6,34.7,21.8,13.4,100.0,86.3,4.6,28.8,32.6,23.5,10.5,100.0,94.0,3.5,28.4,38.5,20.4,9.2
